Company,URL,Company Twitter,Contact Page,Email,CEO Name,CEO Twitter,CEO Email
฿TC Draft,btcdraft.com,https://www.twitter.com/btcdraft,,info@btcdraft.com,,,
0chain,https://0chain.net/,,,jobs@0chain.net,Saswata Basu,,saswata@0chain.net
0x,0xproject.com,https://twitter.com/0xproject,,team@0xproject.com,Will Warren,https://twitter.com/willwarren89,
1 World Blockchain,1worldblockchain.com,https://twitter.com/1worldblock,https://www.1worldblockchain.com/en/contact,info@1worldblockchain.com,Edward Ng,,edward.ng@1worldblockchain.com
1CoinPool,1coinpool.com,https://twitter.com/1coinpool,,taylor@1coinpool.com,,,
1st Bitcoin Capital,bitcoincapitalcorp.com,https://twitter.com/first_bitcoin,http://bitcoincapitalcorp.com/contact-us/,,Greg Rubin,,gregrubin@bitcoincapitalcorp.com
2GIVE,2give.info,http://twitter.com/2givecoin,,support@strength-in-numbers.org,,,
300 Token,300tokensparta.com,https://twitter.com/300_token,,300tokensparta@gmail.com,,,
"34 Bytes, LLC",34bytes.com,https://twitter.com/34bytes,,info@34bytes.com,Stephen Karlsgodt,,
360ofme,360ofme.com,https://twitter.com/360ofme,http://360ofme.com/contact/,,Cindy Warner,https://twitter.com/cindylwarner1,cwarner@360ofme.com
42-coin Official,42-coin.org,https://twitter.com/42newchain,,42-coin@protonmail.com,,,
4ire Labs,4irelabs.com,https://twitter.com/4irelabs,https://4irelabs.com/#rec34158422,ms@4irelabs.com,Max Semenchuk,https://twitter.com/maxsemenchuk,
51Attack,51attack.com,https://www.twitter.com/51attack,https://www.51attack.com/contact/,,Andreas M. Antonopoulos,https://twitter.com/aantonop,
831organiks,831organiks.com,http://twitter.com/831organiks,,831customerservice@gmail.com,,,
99Bitcoins,99bitcoins.com,https://twitter.com/99bitcoinshq,https://99bitcoins.com/contact/,,Ofir Beigel,https://twitter.com/ofirbeigel,
Abjcoin Blockchain,abjcoin.org,http://twitter.com/abjcoinblockch,,contact@abjcoin.org,,,
Accelerator,accelerator.network,https://twitter.com/accelerator_net,,help@accelerator.network,,,
AchainOfficial,achain.com,https://twitter.com/achainofficial,,hi@achain.com,Tony Cui,,
ACOIN,acoin.info,https://twitter.com/acoinproject,,,,,
Acronis,acronis.com,https://twitter.com/acronis,,info@acronis.com,Serguei Beloussov,https://twitter.com/sbeloussov,serguei.beloussov@acronis.com
Acute angle,acuteangle.com,https://twitter.com/acuteanglecloud,,info@acuteangle.com,Victor Gao,,
Adam Atlas Attorney at Law,adamatlas.com,https://twitter.com/adamatlas,,atlas@adamatlas.com,Adam Atlas,,atlas@adamatlas.com
AdCoin,getadcoin.com,https://twitter.com/getadcoin,https://www.getadcoin.com/contact/,support@getadcoin.com,Jerry Donker,,jerry@getadcoin.com
Adel Ecosystem Ltd.,adelphoi.io,https://twitter.com/adelphoi_io,,info@adel.io,Gabriel Dusil,https://twitter.com/dusilg,
AdEx,adex.network,https://twitter.com/adex_network,,info@adex.network ,Ivo Georgiev,https://twitter.com/ivshti,ivo@adex.network
ADK,aidoskuneen.com,https://twitter.com/aidos_kuneen,,info@aidoskuneen.com,Ricardo Badoer,https://twitter.com/donrico77,
Adshares,adshares.net,https://twitter.com/adsharesnet,,office@adshares.net,Jacek Zemło,https://twitter.com/jacekzemlo,
ADZbuzz,adzcoin.org,https://twitter.com/adzcoinworld,https://help.adzbuzz.com/index.php?a=add,,Jens Steyaert,,
ælf,aelf.io,https://twitter.com/aelfblockchain,,aelfblockchain@gmail.com,Ma Haobo,https://twitter.com/haoboma,
Aerium Foundation,aerium.co,https://twitter.com/aeriumcoin,,,,,
Aeron Aero,aeron.aero,https://twitter.com/aeron_aero,,info@aeron.aero,Artem Orange,,artem@aeron.aero
æternity blockchain,aeternity.com,https://twitter.com/aetrnty,,info@aeternity.com,Yanislav Malahov,https://twitter.com/noyyy,yani@aeternity.com
Agrello,agrello.io,https://twitter.com/agrelloofficial,,,Hando Rand,https://twitter.com/randhando,hando@agrello.io
AgrolifeCoin,agrolifecoin.org,https://twitter.com/traiborg,https://www.agrolifecoin.org/#contact,,,,
AICHAIN,aichain.me,https://twitter.com/aichain1,,contact@aichainnews.com,Stephen Huntsman,https://twitter.com/globalhuntsman,stephen@aichain.me
